record_id,country_code,published_at,url,title,speaker,content_chars,score,score_reasoning,war_related,confidence,source_kind,language,model,pipeline_version,response_id,scored_at,content_hash,is_legacy
59813e5b52efb129,ES,2025-01-09,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/El-Gobierno-de-Espana-felicita-a-Joseph-Aoun-nuevo-presidente-de-Libano.aspx,"The Spanish Government congratulates Joseph Aoun, new President of Lebanon",Spanish Ministry of Foreign Affairs,573,0,"No war-related sentiment detected. Congratulates new Lebanese president and emphasizes diplomacy, sovereignty, stability, and economic reform; no mention of war, armed conflict, military security, or related escalation dynamics.",False,0.888,es_mfa_comunicado,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,276a9bbfe55ea2a67d7111821718952d853d216c,False
9427c06b3b5b953e,ES,2025-01-09,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Comunicado-sobre-Maria-Corina-Machado-y-lideres-opositores-en-Venezuela.aspx,Statement on María Corina Machado and opposition leaders in Venezuela,Spanish Ministry of Foreign Affairs,435,0,"No war-related sentiment detected. Focuses on political arrests and human rights concerns in Venezuela; no reference to armed conflict, military action, deterrence, sanctions related to conflict, terrorism, ceasefire, or escalation risks.",False,0.888,es_mfa_statement,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,562a271c1f17e99ae74ce32355bc93909a8c8d10,False
471e8a2476e84e87,ES,2025-01-13,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/El-Gobierno-de-Espana-saluda-los-avances-en-la-conformacion-del-nuevo-Gobierno-del-Libano.aspx,The Government of Spain welcomes the progress in the formation of the new Government of Lebanon,Spanish Ministry of Foreign Affairs,596,0,"No war-related sentiment detected. Welcomes formation of new Lebanese government and highlights political/economic challenges; references stability but without linkage to armed conflict, military operations, or security escalation.",False,0.888,es_mfa_comunicado,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,6b7aa47faea891204abb0c650318c45870adc117,False
9c9c12f0b80b96b4,ES,2025-01-15,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Comunicado-sobre-el-alto-el-fuego-en-Gaza.aspx,Statement on ceasefire in Gaza,Spanish Ministry of Foreign Affairs,1129,2,"Positive tone. Strongly positive framing of the Gaza ceasefire as a 'first step' toward the two-State solution; explicit welcome, acknowledgment of mediators, commitment to large-scale aid and stabilization, and affirmation of UNRWA’s irreplaceable role — reflects clear, principled, and proactive support for peacebuilding.",True,0.888,es_mfa_statement,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,c8afc37f9990b99416d216975fd357bb4d15d13d,False
27b81e4abd94a71c,ES,2025-01-19,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/El-Gobierno-de-Espana-saluda-la-primera-liberacion-de-rehenes-y-la-entrada-en-vigor-del-alto-el-fuego-en-Gaza.aspx,Spanish Government welcomes first release of hostages and entry into force of ceasefire in Gaza,Spanish Government,1081,2,"Positive tone. Clear positive tone: celebrates ceasefire entry into force and hostage release, affirms Spain’s active role in humanitarian aid and stabilization, and reiterates firm commitment to the two-State solution — consistent, supportive, and forward-looking without hedging.",True,0.888,es_mfa_comunicado,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,7e1f931ad8b1b149bb46f395b6e5f33ec150e743,False
6c72df9d1b0e0cdf,ES,2025-01-24,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Espana-recibe-con-satisfaccion-ordenes-de-arrestro-de-la-Corte-Penal-Internacional-contra-autoridades-del-Gobierno-de-facto.aspx,Spain welcomes International Criminal Court's application for arrest warrants against authorities of de facto Taliban government,Spanish Ministry of Foreign Affairs,621,-2,"Negative tone. Clearly negative stance toward the Taliban: 'welcomes' ICC arrest warrants for gender-based persecution, explicitly 'urged' inclusion of crimes against women, and pledges continued accountability — signals strong condemnation grounded in international law and human rights.",True,0.888,es_mfa_comunicado,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,d15981608ac07fd0ed0b3d0a48a06e5038efaaa7,False
4806496f64c6f61c,ES,2025-01-26,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Comunicado-Elecciones-presidenciales-en-Bielorrusia.aspx,Statement on Presidential Elections in Belarus,Spanish Ministry of Foreign Affairs,851,0,"No war-related sentiment detected. Concerns democratic standards and repression in Belarusian elections; no reference to armed conflict, military security, sanctions tied to conflict, terrorism, or ceasefire/escalation dynamics.",False,0.888,es_mfa_statement,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,3f458a71bb7861a14c4334eb87766fd5eee95308,False
8b1d3833e8342322,ES,2025-01-27,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Comunicado-Dia-Internacional-en-Memoria-de-las-Victimas-del-Holocausto-80-aniversario-de-la-liberacion-de-Auschwitz.aspx,Statement on the occasion of International Day of Commemoration in Memory of the Victims of the Holocaust and the 80th anniversary of the liberation of Auschwitz,Spanish Ministry of Foreign Affairs,1180,0,"No war-related sentiment detected. Commemorates Holocaust victims and condemns antisemitism; historical atrocity remembrance without current war, conflict, military security, or escalation context.",False,0.888,es_mfa_statement,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,2a3343689d2ee39a496d293517d9dc42f3490feb,False
2a75864c28a7826d,ES,2025-01-30,https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Espa%c3%b1a-rechaza-la-entrada-en-vigor-de-leyes-de-la-Knesset-sobre-UNRWA.aspx,Spain rejects the entry into force of Knesset laws on UNRWA,Spanish Ministry of Foreign Affairs,639,-2,"Negative tone. Explicit rejection of Knesset laws targeting UNRWA, described as endangering the ceasefire and regional stability; language like 'deepest concern' and 'firmly supports' conveys clear, unambiguous opposition — not merely critical but normatively urgent.",True,0.888,es_mfa_comunicado,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,bb5967f60afd636d1050b672ff99b47ebacbd8dd,False
a271939836ec910f,ES,2025-01-31,"https://www.exteriores.gob.es/en/Comunicacion/Comunicados/Paginas/2025_COMUNICADOS/Comunicado-conjunto-del-Ministerio-de-Asuntos-Exteriores,-Union-Europea-y-Cooperacion-y-del-Ministerio-del-Interior.aspx","Joint statement by the Ministry of Foreign Affairs, European Union and Cooperation and the Ministry of the Interior",Spanish Ministry of Foreign Affairs,1316,2,"Positive tone. Unambiguously positive: highlights Spain’s 'reinforced commitment', 'key player' status, 'leadership' in EU cooperation, and concrete deployment (12 personnel) to support humanitarian transit and PA governance — emphasizes agency, capability, and constructive multilateral action.",True,0.888,es_mfa_statement,en,qwen-plus,paper_multistage_v1,chatcmpl-1d892bbf-f0a2-9675-abec-8374e0e2a996|chatcmpl-0bf35a3e-e824-9a37-a758-4e3a7c5e79d7|chatcmpl-8942aebd-2627-9cc6-a690-2e6cd3de1395|chatcmpl-1bb5f877-63d3-99b6-b1c6-4fbe13d72d05|chatcmpl-a0faed75-7a32-9e03-aaa6-9549a1942a48|chatcmpl-d0fc27cb-d3eb-973e-81d2-d353a8be7e62|chatcmpl-330a405c-5220-9339-90ab-e4af260991b5|chatcmpl-6d95aee6-a238-96b9-93d5-b5340ae7fdf9|chatcmpl-19a644d7-4d20-9f71-9f32-865c23bc8966|chatcmpl-279b970e-4ce9-99f3-bd22-785c1257e2fc|chatcmpl-ad53b4dc-fa63-9f46-b319-5a2ea8648e32,2026-03-19T15:07:59Z,538f4030b06cf7520f957d6901573873c59f2702,False
